Date;23-9-2021;;;;;;;;;;
Type;MAJOR FLAG;STOCK TYPE;QUOTE INDICATOR;GEOGRAPHIC DESCR.;GEOG DESC OF LSTNG;CURRENCY;ISIN ISSUER CTRY;NAME;FULL NAME;COMPANY NAME;ISIN CODE
776354;Y;CF;P;NETHERLANDS;NETHERLANDS;FL;N/A;ABN AMRO ALBEFO DEAD - 01/10/93;ABN AMRO ALBEFO DEAD - 01/10/93;ABN AMRO ALBEFO;NA
505972;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;ABN AMRO HOLDING DEAD - 25/04/08;ABN AMRO HOLDING DEAD - 25/04/08;ABN AMRO HOLDING NV;NL0000301109
505980;N;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;ABN AMRO HOLDING PREF. DEAD - DELIST 28/09/04;ABN AMRO HOLDING PREFERENCE DEAD - DELIST 28/09/04;ABN AMRO HOLDING NV;NL0000300598
309345;N;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;ABN AMRO 6% CV.PREF. DEAD - 31/12/08;ABN AMRO 6% CONVERTIBLE PREFERENCE DEAD - 31/12/08;ABN AMRO HOLDING NV;NL0000300507
724766;Y;INVT;P;NETHERLANDS;NETHERLANDS;FL;N/A;ABN BELLEGGINGS FONDS;ABN BELLEGGINGS FONDS;ABN BELLEGGINGS FONDS;NA
143037;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;N/A;ABN LNAMER.EQ.A (AMS) DEAD - DELIST 01/02/00;ABN LATIN AMERICAN EQUITY A (AMS) DEAD - DELIST 01/02/00;ABN LATIN AMERICAN EQUITY A;NA
29751L;Y;EQ;S;FRANCE;NETHERLANDS;E;FR;ACCOR (AMS);ACCOR (AMS);ACCOR;FR0000120404
505445;Y;EQ;P;NETHERLANDS;NETHERLANDS;FL;N/A;AEGON 2.4% STK.;AEGON 2.4% STOCK;AEGON;NA
77299D;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;AGENDIA DEAD - 23/06/11;AGENDIA DEAD - 23/06/11;AGENDIA;NL0006294340
289180;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;N/A;AHOLD DIV '00 DEAD - DELIST 07/06/00;AHOLD DIV '00 DEAD - DELIST 07/06/00;AHOLD DIV '00;NA
729264;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;AHREND(KON.) GP.CERTS. DEAD - DELIST.12/02/01;AHREND(KONINKLIJKE) GROUP CERTIFICATES DEAD - DELIST.12/02/01;AHREND GROEP NV;NL0000332351
289246;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;AINO DEAD - DEAD 24/10/03;AINO DEAD - DEAD 24/10/03;AINO;NL0000335669
28930F;Y;EQ;S;FRANCE;NETHERLANDS;E;FR;AIR FRANCE-KLM (AMS) DEAD - SEE MOR 929286;AIR FRANCE-KLM (AMS) DEAD - SEE MOR 929286;AIR FRANCE-KLM;FR0000031122
504322;Y;EQ;P;NETHERLANDS;NETHERLANDS;FL;N/A;AIR HOLLAND DEAD - DELIST 19/11/93;AIR HOLLAND DEAD - DELIST 19/11/93;AIR HOLLAND;NA
539835;Y;EQ;P;NETHERLANDS;NETHERLANDS;FL;N/A;AIR HOLLAND FALCONS DEAD - DELIST.30/09/91;AIR HOLLAND FALCONS DEAD - DELIST.30/09/91;AIR HOLLAND FALCONS;NA
681133;N;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;AIRSPRAY NM DEAD - 17/07/06;AIRSPRAY NM DEAD - 17/07/06;AIRSPRAY NM NV;NL0000333557
741020;N;EQ;P;NETHERLANDS;NETHERLANDS;FL;N/A;AKZO WTS.86-91;AKZO WARRANTS 86-91;AKZO NOBEL NV;NA
505402;N;EQ;P;NETHERLANDS;NETHERLANDS;FL;N/A;AKZO 1/35 SHARE;AKZO 1/35 SHARE;AKZO NOBEL NV;NA
866352;Y;EQ;S;UNITED KINGDOM;NETHERLANDS;£;GB;ALBERT FISHER GROUP(AMS) DEAD - DEAD 04/07/00;ALBERT FISHER GROUP(AMS) DEAD - DEAD 04/07/00;ALBERT FISHER PLC;GB0003396073
671029;Y;EQ;S;CANADA;NETHERLANDS;E;NL;ALCAN ALUMINIUM (AMS) DEAD - DEAD 07/07/00;ALCAN ALUMINIUM (AMS) DEAD - DEAD 07/07/00;ALCAN INCORPORATED;NL0000440659
866656;Y;EQ;S;FRANCE;NETHERLANDS;E;FR;ALCATEL-LUCENT (AMS) DEAD - SEE MOR 755022;ALCATEL-LUCENT (AMS) DEAD - SEE MOR 755022;ALCATEL-LUCENT;FR0000130007
904250;Y;EQ;P;NETHERLANDS;NETHERLANDS;FL;N/A;ALGEMENE BK.NED. DEAD - CONV.SEE 505972;ALGEMENE BANK NEDERLANDS DEAD - CONVERSION SEE 505972;ALGEMENE BANK NEDERLANDS;NA
755151;N;EQ;P;NETHERLANDS;NETHERLANDS;FL;N/A;ALGEMENE BK.NED.PREF.;ALGEMENE BANK NEDERLANDS PREFERENCE;ALGEMENE BANK NEDERLANDS;NA
671631;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;ALG.MIJ. & HANDEL DEAD - 20/09/00;ALGEMENE MAATSCHAPPIJ & HANDEL DEAD - 20/09/00;ALGEMENE MAATSCHAPPIJ & HANDEL;NL0000440147
870863;Y;EQ;S;UNITED STATES;NETHERLANDS;E;US;ALLEGHENY EN. (AMS) DEAD - DEAD 25/10/01;ALLEGHENY ENERGY (AMS) DEAD - DEAD 25/10/01;ALLEGHENY ENERGY INCORPORATED;US0173611064
273315;Y;EQ;S;GERMANY;NETHERLANDS;E;DE;ALLIANZ (AMS) DEAD - SEE MOR 682787;ALLIANZ (AMS) DEAD - SEE MOR 682787;ALLIANZ SE;DE0008404005
679999;Y;EQ;S;UNITED KINGDOM;NETHERLANDS;E;NL;ALLIED DOMECQ CERT.(AMS) DEAD - DELIST 08/12/99;ALLIED DOMECQ CERTIFICATE (AMS) DEAD - DELIST 08/12/99;ALLIED DOMECQ PUBLIC LIMITED COMPANY;NL0000429199
897397;Y;CF;P;NETHERLANDS;NETHERLANDS;E;NL;ALPINVEST HOLDING DEAD - DELIST 20/04/00;ALPINVEST HOLDING DEAD - DELIST 20/04/00;ALPINVEST HOLDING;NL0000284792
8732Q7;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;ALTICE EUROPE DEAD - DELIST.27/01/21;ALTICE EUROPE DEAD - DELIST.27/01/21;ALTICE EUROPE NV;NL0011333752
9888N2;N;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;ALTICE EUROPE B DEAD - DELIST.27/01/21;ALTICE EUROPE B DEAD - DELIST.27/01/21;ALTICE EUROPE NV;NL0011333760
993314;Y;EQ;S;UNITED STATES;NETHERLANDS;U$;US;ALTRIA GP. (AMS);ALTRIA GROUP (AMS);ALTRIA GROUP INCORPORATED;US02209S1033
308812;N;EQ;P;UNITED STATES;NETHERLANDS;U$;NL;ALTRIA GROUP CERT. (AMS) DEAD - DEAD 06/11/02;ALTRIA GROUP CERTIFICATE (AMS) DEAD - DEAD 06/11/02;ALTRIA GROUP INCORPORATED;NL0000471886
936288;Y;EQ;P;NETHERLANDS;NETHERLANDS;FL;N/A;ALVAMIJ DEAD;ALVAMIJ DEAD;ALVAMIJ;NA
932858;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;AM DEAD - 14/03/06;AM DEAD - 14/03/06;AM NV;NL0000389799
779371;Y;CF;P;NETHERLANDS;NETHERLANDS;FL;N/A;AMBA DEAD - DELIST.03/04/92;AMBA DEAD - DELIST.03/04/92;AMBA;NA
945346;Y;EQ;S;UNITED STATES;NETHERLANDS;U$;US;AMER.BRANDS (AMS) DEAD - DUPL.866657;AMERICAN BRANDS (AMS) DEAD - DUPLICATE 866657;BEAM INCORPORATED;US0737301038
993279;Y;EQ;S;UNITED STATES;NETHERLANDS;U$;US;AMER.EXPRESS (AMS) DEAD - DEAD 15/01/04;AMERICAN EXPRESS (AMS) DEAD - DEAD 15/01/04;AMERICAN EXPRESS COMPANY;US0258161092
671030;N;EQ;P;UNITED STATES;NETHERLANDS;E;NL;AMER.EXPRESS CDR. (AMS) DEAD - DELIST 16/02/99;AMERICAN EXPRESS CONTINENTAL DEPOSITARY RE (AMS) DEAD - DELIST 16/02/99;AMERICAN EXPRESS COMPANY;NL0000451375
922475;Y;EQ;S;UNITED STATES;NETHERLANDS;U$;US;AMERITECH (AMS) DEAD - DELIST.08/10/99;AMERITECH (AMS) DEAD - DELIST.08/10/99;AMERITECH;US0309541011
923377;Y;EQ;P;NETHERLANDS;NETHERLANDS;FL;N/A;AMFAS GROEP;AMFAS GROEP;AMFAS GROEP;NA
916784;Y;EQ;P;NETHERLANDS;NETHERLANDS;FL;N/A;AMRO BANK DEAD - DELIST 09/10/90;AMRO BANK DEAD - DELIST 09/10/90;AMRO BANK;NA
508643;Y;INVT;P;NETHERLANDS;NETHERLANDS;FL;N/A;AMRO NA FUND;AMRO NA FUND;AMRO NA FUND;NA
866190;N;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;AMSTELLAND CP DEAD - DELIST 28/08/01;AMSTELLAND CP DEAD - DELIST 28/08/01;AM NV;NL0000389757
929691;Y;EQ;P;NETHERLANDS;NETHERLANDS;FL;N/A;AMSTD.ASSETS;AMSTERDAM ASSETS;AMSTERDAM ASSETS;NA
932766;Y;EQ;P;NETHERLANDS;NETHERLANDS;FL;N/A;AMSTD.RIJTUIG-MIJ.;AMSTERDAM RIJTUIG-MAATSCHAPPIJ;AMSTERDAM RIJTUIG-MAATSCHAPPIJ;NA
50692U;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;AMT HOLDING DEAD - 19/11/12;AMT HOLDING DEAD - 19/11/12;AMT HOLDING;NL0000886968
933238;Y;EQ;P;NETHERLANDS;NETHERLANDS;FL;NL;ANTILL.VERFFAB. DEAD - DELIST 29/12/98;ANTILLIAANSE VERFFABRIEK DEAD - DELIST 29/12/98;ANTILLIAANSE VERFFABRIEK;NL0000418192
888892;Y;EQ;P;UNITED KINGDOM;NETHERLANDS;E;GB;ANTONOV DEAD - 30/05/13;ANTONOV DEAD - 30/05/13;ANTONOV PUBLIC LIMITED COMPANY;GB00B3SHND79
866658;Y;EQ;S;LUXEMBOURG;NETHERLANDS;E;LU;ARBED (AMS) DEAD - DELIST 07/04/00;ARBED (AMS) DEAD - DELIST 07/04/00;ARBED;LU0006047129
29752J;Y;EQ;S;FRANCE;NETHERLANDS;E;LU;ARCELOR (AMS) DEAD - 13/11/07;ARCELOR (AMS) DEAD - 13/11/07;ARCELOR;LU0325453354
945378;Y;EQ;S;UNITED STATES;NETHERLANDS;E;NL;ARMCO INC.CERT. (AMS) DEAD - DELIST 01/10/99;ARMCO INCOME CERTIFICATE (AMS) DEAD - DELIST 01/10/99;ARMCO INCORPORATED;NL0000453512
932769;Y;EQ;P;NETHERLANDS;NETHERLANDS;FL;N/A;ARNHEM SCHWZ.CERT.;ARNHEM SCHWEIZERISCHE CERTIFICATE;ARNHEM SCHWEIZERISCHE CERTIFICATE;NA
870936;Y;CF;P;NETHERLANDS;NETHERLANDS;E;NL;ARNHEMSCHE DEAD - DELIST 26/10/01;ARNHEMSCHE DEAD - DELIST 26/10/01;ARNHEMSCHE;NL0000333755
51148J;Y;EQ;S;BELGIUM;NETHERLANDS;E;BE;ARSEUS (AMS) DEAD - SEE MOR 51129T;ARSEUS (AMS) DEAD - SEE MOR 51129T;FAGRON;BE0003874915
671031;N;EQ;P;JAPAN;NETHERLANDS;Y;NL;ASAHI CDR.1000 (AMS) DEAD - DEAD 29/06/01;ASAHI CONTINENTAL DEPOSITARY RE 1000 (AMS) DEAD - DEAD 29/06/01;PENTAX CORPORATION;NL0000484343
671019;N;EQ;P;JAPAN;NETHERLANDS;Y;NL;ASAHI OPTICAL CDR (AMS) DEAD - DEAD 29/06/01;ASAHI OPTICAL CDR (AMS) DEAD - DEAD 29/06/01;PENTAX CORPORATION;NL0000484335
993282;Y;EQ;S;UNITED STATES;NETHERLANDS;U$;US;ASARCO (AMS) DEAD - DELIST 21/12/99;ASARCO (AMS) DEAD - DELIST 21/12/99;ASARCO;US0434131035
882142;N;EQ;P;UNITED STATES;NETHERLANDS;E;NL;ASARCO INC CERTS. (AMS) DEAD - DELIST 21/12/99;ASARCO INC CERTIFICATES (AMS) DEAD - DELIST 21/12/99;ASARCO;NL0000453629
