Date;23-9-2021;;;;;;;;;;;
Type;MAJOR FLAG;STOCK TYPE;QUOTE INDICATOR;GEOGRAPHIC DESCR.;GEOG DESC OF LSTNG;CURRENCY;ISIN ISSUER CTRY;NAME;FULL NAME;COMPANY NAME;ISIN CODE;CURRENCY
41294N;Y;GDR;P;NETHERLANDS;UNITED KINGDOM;E;US;A&D PHARMA HOLDINGS GDR REG S;A&D PHARMA HOLDINGS GDR REG S;A&D PHARMA HOLDINGS NV;US0024812085;E 
51134P;Y;EQ;S;HUNGARY;CZECH REPUBLIC;CK;NL;AAA AUTO GROUP (PRA) DEAD - 04/07/13;AAA AUTO GROUP (PRA) DEAD - 04/07/13;AAA AUTO GROUP NV;NL0006033375;CK
749352;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;AALBERTS;AALBERTS;AALBERTS NV;NL0000852564;E 
8721AT;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;ABN AMRO BANK;ABN AMRO BANK;ABN AMRO BANK NV;NL0011540547;E 
505972;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;ABN AMRO HOLDING DEAD - 25/04/08;ABN AMRO HOLDING DEAD - 25/04/08;ABN AMRO HOLDING NV;NL0000301109;E 
688324;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;ACCELL GROUP;ACCELL GROUP;ACCELL GROUP NV;NL0009767532;E 
27187D;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;N/A;ACHMEA HOLDING NV;ACHMEA HOLDING NV;ACHMEA HOLDING NV;NA;E 
265628;Y;EQ;P;GERMANY;GERMANY;E;NL;AD PEPPER MEDIA INTL.;AD PEPPER MEDIA INTERNATIONAL;AD PEPPER MEDIA INTERNATIONAL NON VOTING;NL0000238145;E 
9307KF;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;ADYEN;ADYEN;ADYEN NV;NL0012969182;E 
922956;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;AEGON;AEGON;AEGON;NL0000303709;E 
539762;Y;UT;NA;NETHERLANDS;NA;E;NL;AEGON AANDELEN DEAD - DEAD 29/06/07;AEGON AANDELEN DEAD - DEAD 29/06/07;AEGON AANDELEN;NL0000284743;E 
41380F;Y;EQ;P;UNITED STATES;UNITED STATES;U$;NL;AERCAP HOLDINGS N V;AERCAP HOLDINGS N V;AERCAP HOLDINGS N V;NL0000687663;U$
679622;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;AFC AJAX;AFC AJAX;AFC AJAX NV;NL0000018034;E 
729264;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;AHREND(KON.) GP.CERTS. DEAD - DELIST.12/02/01;AHREND(KONINKLIJKE) GROUP CERTIFICATES DEAD - DELIST.12/02/01;AHREND GROEP NV;NL0000332351;E 
289246;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;AINO DEAD - DEAD 24/10/03;AINO DEAD - DEAD 24/10/03;AINO;NL0000335669;E 
289361;Y;EQ;P;FRANCE;FRANCE;E;NL;AIRBUS;AIRBUS;AIRBUS SE;NL0000235190;E 
681133;N;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;AIRSPRAY NM DEAD - 17/07/06;AIRSPRAY NM DEAD - 17/07/06;AIRSPRAY NM NV;NL0000333557;E 
912643;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;AKZO NOBEL;AKZO NOBEL;AKZO NOBEL NV;NL0013267909;E 
9278T2;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;ALFEN;ALFEN;ALFEN NV;NL0012817175;E 
904250;Y;EQ;P;NETHERLANDS;NETHERLANDS;FL;N/A;ALGEMENE BK.NED. DEAD - CONV.SEE 505972;ALGEMENE BANK NEDERLANDS DEAD - CONVERSION SEE 505972;ALGEMENE BANK NEDERLANDS;NA;FL
755095;Y;UT;P;NETHERLANDS;NA;E;NL;ALLIANZ EUROPA OBLIGATIE FONDS;ALLIANZ EUROPA OBLIGATIE FONDS;ALLIANZ EUROPA OBLIGATIE;NL0000286904;E 
932779;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;ALMUNDA PROFESSIONALS;ALMUNDA PROFESSIONALS;ALMUNDA PROFESSIONALS NV;NL0010696704;E 
897397;Y;CF;P;NETHERLANDS;NETHERLANDS;E;NL;ALPINVEST HOLDING DEAD - DELIST 20/04/00;ALPINVEST HOLDING DEAD - DELIST 20/04/00;ALPINVEST HOLDING;NL0000284792;E 
952405;Y;UT;NA;NETHERLANDS;NA;E;AN;ALRENTA N V CAPTL. DEAD - 05/03/05;ALRENTA N V CAPITALIZATION DEAD - 05/03/05;ALRENTA N V CAPITALIZATION;ANN029371211;E 
8732Q7;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;ALTICE EUROPE DEAD - DELIST.27/01/21;ALTICE EUROPE DEAD - DELIST.27/01/21;ALTICE EUROPE NV;NL0011333752;E 
8701DC;N;EQ;P;NETHERLANDS;NETHERLANDS;E;LU;ALTICE SA;ALTICE SA;ALTICE SA;LU1014539529;E 
289104;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;ALUMEXX;ALUMEXX;ALUMEXX NV;NL0012194724;E 
932858;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;AM DEAD - 14/03/06;AM DEAD - 14/03/06;AM NV;NL0000389799;E 
50788M;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;AMG ADVD.METALLURGICAL GROUP;AMG ADVANCED METALLURGICAL GROUP;AMG ADVANCED METALLURGICAL GROUP;NL0000888691;E 
30900F;Y;EQ;P;POLAND;POLAND;PZ;ES;AMREST HOLDINGS;AMREST HOLDINGS;AMREST HOLDINGS SE;ES0105375002;PZ
